,x,Q,z,T_t,R2
71,0.21,1.3304134695650072,0.55,0.8749999999999998,0.12614452472154902
72,0.21,1.3304134695650072,0.55,1.2249999999999999,0.15937763167894048
73,0.21,1.3304134695650072,0.55,1.5749999999999997,0.17120987463805018
74,0.21,1.3304134695650072,0.65,0.175,0.11502537192484441
75,0.21,1.3304134695650072,0.65,0.5249999999999999,0.12616059388057815
76,0.21,1.3304134695650072,0.65,0.8749999999999998,0.1475255879039608
77,0.21,1.3304134695650072,0.65,1.2249999999999999,0.17959755289412935
78,0.21,1.3304134695650072,0.7500000000000001,0.175,0.11419627880914326
79,0.21,1.3304134695650072,0.7500000000000001,0.5249999999999999,0.11585312203494996
80,0.26,1.489966442575134,0.25,0.8749999999999998,0.08787073245337891
81,0.26,1.489966442575134,0.25,1.2249999999999999,0.09928803112581278
82,0.26,1.489966442575134,0.25,1.5749999999999997,0.10728258599310589
83,0.26,1.489966442575134,0.25,1.9249999999999996,0.10624375482828077
84,0.26,1.489966442575134,0.35,0.5249999999999999,0.08177893318430202
85,0.26,1.489966442575134,0.35,0.8749999999999998,0.07574100719949946
86,0.26,1.489966442575134,0.35,1.2249999999999999,0.09410560256255543
87,0.26,1.489966442575134,0.45000000000000007,0.5249999999999999,0.08864293958582824
88,0.26,1.489966442575134,0.45000000000000007,0.8749999999999998,0.09338518550896018
