,x,Q,z,T_t,R2
54,0.21,1.3304134695650072,0.25,2.624999999999999,0.18372685807757946
55,0.21,1.3304134695650072,0.25,2.974999999999999,0.16660773676156676
56,0.21,1.3304134695650072,0.35,0.175,0.11149770109334485
57,0.21,1.3304134695650072,0.35,0.5249999999999999,0.1265900518071244
58,0.21,1.3304134695650072,0.35,0.8749999999999998,0.1162279269673301
59,0.21,1.3304134695650072,0.35,1.2249999999999999,0.156460403886795
60,0.21,1.3304134695650072,0.35,1.5749999999999997,0.1681746325500283
61,0.21,1.3304134695650072,0.35,1.9249999999999996,0.15484546526285814
62,0.21,1.3304134695650072,0.35,2.2749999999999995,0.1875922338181112
63,0.21,1.3304134695650072,0.45000000000000007,0.175,0.1202081817300697
64,0.21,1.3304134695650072,0.45000000000000007,0.5249999999999999,0.14220378475626563
65,0.21,1.3304134695650072,0.45000000000000007,0.8749999999999998,0.13754937658596306
66,0.21,1.3304134695650072,0.45000000000000007,1.2249999999999999,0.15841420450793062
67,0.21,1.3304134695650072,0.45000000000000007,1.5749999999999997,0.20593275350462048
68,0.21,1.3304134695650072,0.45000000000000007,1.9249999999999996,0.19596488775108134
69,0.21,1.3304134695650072,0.55,0.175,0.1246045778925561
70,0.21,1.3304134695650072,0.55,0.5249999999999999,0.14844141426843482
71,0.21,1.3304134695650072,0.55,0.8749999999999998,0.1489739254178612
72,0.21,1.3304134695650072,0.55,1.2249999999999999,0.1795322238698296
73,0.21,1.3304134695650072,0.55,1.5749999999999997,0.17189530686721963
74,0.21,1.3304134695650072,0.65,0.175,0.12667085534511974
75,0.21,1.3304134695650072,0.65,0.5249999999999999,0.12789744843269252
76,0.21,1.3304134695650072,0.65,0.8749999999999998,0.15223599380358213
77,0.21,1.3304134695650072,0.65,1.2249999999999999,0.15943450031389209
78,0.21,1.3304134695650072,0.7500000000000001,0.175,0.11927455214526039
79,0.21,1.3304134695650072,0.7500000000000001,0.5249999999999999,0.13129852873083822
80,0.26,1.489966442575134,0.25,0.8749999999999998,0.09115181685028778
81,0.26,1.489966442575134,0.25,1.2249999999999999,0.09791060057885961
82,0.26,1.489966442575134,0.25,1.5749999999999997,0.09991821573407168
83,0.26,1.489966442575134,0.25,1.9249999999999996,0.09312951892681064
84,0.26,1.489966442575134,0.35,0.5249999999999999,0.0833781496489286
85,0.26,1.489966442575134,0.35,0.8749999999999998,0.07975220120098958
86,0.26,1.489966442575134,0.35,1.2249999999999999,0.0953235229262424
87,0.26,1.489966442575134,0.45000000000000007,0.5249999999999999,0.08639834174357652
88,0.26,1.489966442575134,0.45000000000000007,0.8749999999999998,0.09023077592352197
